IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.10.100,2086,2086,false,SIN,Asia Pacific,Singapore,346,0.48
47.236.63.152,443,443,true,SIN,Asia Pacific,Singapore,296,0.38
47.237.83.20,2082,2082,false,SIN,Asia Pacific,Singapore,261,0.38
8.222.214.231,8880,8880,false,SIN,Asia Pacific,Singapore,699,0.21
47.236.10.182,80,80,false,SIN,Asia Pacific,Singapore,363,0.14
47.245.102.52,80,80,false,SIN,Asia Pacific,Singapore,335,0.13
5.253.36.177,33426,443,true,SIN,Asia Pacific,Singapore,131,0.05
96.0.147.114,80,80,false,SIN,Asia Pacific,Singapore,139,0.04
8.219.60.54,2053,2053,true,SIN,Asia Pacific,Singapore,311,0.00
47.236.165.25,2095,2095,false,SIN,Asia Pacific,Singapore,352,0.00
43.156.253.94,443,443,true,SIN,Asia Pacific,Singapore,210,0.00
43.156.116.194,443,443,true,SIN,Asia Pacific,Singapore,223,0.00
54.169.46.224,443,443,true,SIN,Asia Pacific,Singapore,76,0.00
